4105706;Clevelândia;18.338;8.438;8.794;14.756;2.476;17.232
4105805;Colombo;183.329;105.039;107.988;203.251;9.776;213.027
4105904;Colorado;20.957;11.045;11.302;21.007;1.340;22.347
4106001;Congonhinhas;7.851;4.237;4.042;4.834;3.445;8.279
4106100;Conselheiro Mairinck;3.463;1.830;1.797;2.513;1.114;3.627
4106209;Contenda;13.241;8.099;7.793;9.233;6.659;15.892
4106308;Corbélia;15.803;7.965;8.337;13.964;2.338;16.302
4106407;Cornélio Procópio;46.861;22.698;24.227;44.305;2.620;46.925
4106456;Coronel Domingos Soares;7.004;3.792;3.446;1.753;5.485;7.238
4106506;Coronel Vivida;23.306;10.613;11.124;15.432;6.305;21.737
4106555;Corumbataí do Sul;4.946;2.034;1.969;2.128;1.875;4.003
4106803;Cruz Machado;17.667;9.328;8.715;6.057;11.986;18.043
4106571;Cruzeiro do Iguaçu;4.394;2.131;2.143;2.619;1.655;4.274
4106605;Cruzeiro do Oeste;20.222;9.992;10.427;17.667;2.752;20.419
4106704;Cruzeiro do Sul;4.759;2.310;2.253;3.404;1.159;4.563
4106852;Cruzmaltina;3.459;1.635;1.527;1.503;1.659;3.162
4106902;Curitiba;1.587.315;832.500;914.396;1.746.896;0;1.746.896
4107009;Curiúva;12.904;7.105;6.819;9.576;4.348;13.924
4107108;Diamante do Norte;6.099;2.735;2.789;4.559;965;5.524
4107124;Diamante do Sul;3.659;1.795;1.715;1.405;2.105;3.510
4107157;Diamante D'Oeste;4.878;2.570;2.457;2.561;2.466;5.027
4107207;Dois Vizinhos;31.986;17.995;18.203;28.115;8.083;36.198
4107256;Douradina;6.160;3.770;3.676;5.233;2.213;7.446
4107306;Doutor Camargo;5.777;2.870;2.959;5.111;718;5.829
4128633;Doutor Ulysses;6.003;2.980;2.754;939;4.795;5.734
4107405;Enéas Marques;6.382;3.130;2.971;2.126;3.975;6.101
4107504;Engenheiro Beltrão;14.082;6.929;6.991;12.288;1.632;13.920
4107538;Entre Rios do Oeste;3.328;1.953;1.969;2.641;1.281;3.922
4107520;Esperança Nova;2.308;981;989;752;1.218;1.970
4107546;Espigão Alto do Iguaçu;5.388;2.386;2.291;1.646;3.031;4.677
4107553;Farol;3.963;1.723;1.749;2.018;1.454;3.472
4107603;Faxinal;15.608;8.028;8.289;12.745;3.572;16.317
4107652;Fazenda Rio Grande;62.877;40.580;41.107;75.940;5.747;81.687
4107702;Fênix;4.942;2.397;2.405;3.993;809;4.802
4107736;Fernandes Pinheiro;6.368;3.039;2.893;2.094;3.838;5.932
4107751;Figueira;9.038;4.103;4.190;7.091;1.202;8.293
4107850;Flor da Serra do Sul;5.059;2.398;2.327;1.644;3.081;4.725
4107801;Floraí;5.285;2.502;2.548;4.472;578;5.050
4107900;Floresta;5.122;2.943;2.978;5.471;450;5.921
4108007;Florestópolis;12.190;5.684;5.536;10.546;674;11.220
4108106;Flórida;2.434;1.287;1.253;2.322;218;2.540
4108205;Formosa do Oeste;8.755;3.787;3.756;4.964;2.579;7.543
4108304;Foz do Iguaçu;258.543;124.203;131.878;253.950;2.131;256.081
4108452;Foz do Jordão;6.378;2.683;2.731;3.924;1.490;5.414
4108320;Francisco Alves;6.956;3.227;3.197;4.240;2.184;6.424
4108403;Francisco Beltrão;67.132;38.971;39.986;67.456;11.501;78.957
4108502;General Carneiro;13.899;6.898;6.769;9.569;4.098;13.667
4108551;Godoy Moreira;3.836;1.701;1.636;1.547;1.790;3.337
4108601;Goioerê;29.750;14.009;15.015;25.248;3.776;29.024
4108650;Goioxim;8.086;3.925;3.579;1.756;5.748;7.504
4108700;Grandes Rios;7.868;3.381;3.244;3.562;3.063;6.625
4108809;Guaíra;28.659;14.925;15.744;28.176;2.493;30.669
4108908;Guairaçá;5.898;3.106;3.088;4.957;1.237;6.194
4108957;Guamiranga;7.134;4.009;3.891;2.236;5.664;7.900
4109005;Guapirama;4.068;1.929;1.957;2.904;982;3.886
4109104;Guaporema;2.244;1.134;1.084;1.280;938;2.218
4109203;Guaraci;4.919;2.582;2.665;4.214;1.033;5.247
4109302;Guaraniaçu;17.201;7.261;7.322;7.800;6.783;14.583
4109401;Guarapuava;155.161;81.901;85.562;153.098;14.365;167.463
4109500;Guaraqueçaba;8.288;4.179;3.691;2.680;5.190;7.870
4109609;Guaratuba;27.257;15.972;16.116;28.793;3.295;32.088
4109658;Honório Serpa;6.896;3.095;2.865;1.991;3.969;5.960
4109708;Ibaiti;26.448;14.460;14.265;23.097;5.628;28.725
4109757;Ibema;5.872;3.036;3.030;4.941;1.125;6.066
4109807;Ibiporã;42.153;23.442;24.758;45.896;2.304;48.200
4109906;Icaraíma;10.048;4.458;4.381;6.240;2.599;8.839
4110003;Iguaraçu;3.598;2.010;1.982;3.569;423;3.992
4110052;Iguatu;2.255;1.136;1.097;1.438;795;2.233
4110078;Imbaú;9.474;5.748;5.528;7.067;4.209;11.276
4110102;Imbituva;24.496;14.391;14.064;17.888;10.567;28.455
4110201;Inácio Martins;10.963;5.604;5.339;6.288;4.655;10.943
4110300;Inajá;2.915;1.528;1.460;2.761;227;2.988
4110409;Indianópolis;4.212;2.189;2.110;3.148;1.151;4.299
4110508;Ipiranga;13.308;7.330;6.823;4.892;9.261;14.153
4110607;Iporã;16.445;7.379;7.585;11.775;3.189;14.964
4110656;Iracema do Oeste;2.951;1.320;1.258;2.002;576;2.578
4110706;Irati;52.352;27.761;28.527;45.004;11.284;56.288
4110805;Iretama;11.335;5.422;5.180;6.177;4.425;10.602
4110904;Itaguajé;4.771;2.296;2.272;3.636;932;4.568
4110953;Itaipulândia;6.836;4.547;4.480;4.742;4.285;9.027
4111001;Itambaracá;7.090;3.390;3.369;5.080;1.679;6.759
4111100;Itambé;5.956;2.948;3.029;5.669;308;5.977
4111209;Itapejara d'Oeste;9.162;5.263;5.269;6.988;3.544;10.532
4111258;Itaperuçu;19.344;11.989;11.910;19.966;3.933;23.899
4111308;Itaúna do Sul;4.447;1.822;1.763;2.549;1.036;3.585
4111407;Ivaí;11.899;6.672;6.134;4.623;8.183;12.806
4111506;Ivaiporã;32.270;15.409;16.403;27.431;4.381;31.812
4111555;Ivaté;6.925;3.820;3.704;5.241;2.283;7.524
4111605;Ivatuba;2.796;1.435;1.573;2.294;714;3.008
4111704;Jaboti;4.590;2.485;2.410;3.025;1.870;4.895
4111803;Jacarezinho;39.625;19.120;19.973;34.763;4.330;39.093
4111902;Jaguapitã;10.932;6.125;6.131;10.412;1.844;12.256
4112009;Jaguariaíva;30.780;16.097;16.519;28.051;4.565;32.616
4112108;Jandaia do Sul;19.676;9.898;10.385;18.337;1.946;20.283
4112207;Janiópolis;8.084;3.274;3.262;4.042;2.494;6.536
4112306;Japira;4.901;2.546;2.364;2.734;2.176;4.910
4112405;Japurá;7.755;4.319;4.228;7.614;933;8.547
4112504;Jardim Alegre;13.673;6.272;6.053;7.175;5.150;12.325
4112603;Jardim Olinda;1.523;699;710;1.001;408;1.409
4112702;Jataizinho;11.327;5.869;5.990;11.037;822;11.859
4112751;Jesuítas;9.832;4.470;4.531;6.070;2.931;9.001
4112801;Joaquim Távora;9.661;5.319;5.416;8.219;2.516;10.735
4112900;Jundiaí do Sul;3.659;1.742;1.691;1.975;1.458;3.433
4112959;Juranda;8.134;3.815;3.826;5.839;1.802;7.641
4113007;Jussara;6.299;3.264;3.349;5.936;677;6.613
4113106;Kaloré;5.044;2.281;2.222;3.217;1.286;4.503
